Date,Time,"P-core 8 T0 Effective Clock [MHz]","P-core 8 T0 Usage [%]","Total CPU Usage [%]","CPU Package [¡ÆC]","CPU Package Power [W]",
25.8.2026,8:50:27.185,39.8,0.0,2.0,58,10.132,
25.8.2026,8:50:27.395,140.6,2.0,1.8,58,10.440,
25.8.2026,8:50:27.600,29.0,0.0,6.7,57,9.427,
25.8.2026,8:50:27.792,20.2,5.6,2.2,58,10.466,
25.8.2026,8:50:28.000,29.2,0.0,1.6,75,9.035,
25.8.2026,8:50:28.209,202.2,9.3,5.5,55,11.444,
25.8.2026,8:50:28.413,49.8,0.0,3.3,57,8.687,
25.8.2026,8:50:28.603,23.6,5.7,4.0,60,10.586,
25.8.2026,8:50:28.812,29.7,0.0,1.5,58,10.347,
25.8.2026,8:50:29.022,56.2,0.0,5.3,58,10.697,
25.8.2026,8:50:29.230,27.7,0.0,4.4,58,9.780,
25.8.2026,8:50:29.420,23.1,0.0,2.1,58,9.714,
25.8.2026,8:50:29.629,26.7,0.0,4.2,58,8.623,
25.8.2026,8:50:29.835,26.3,0.0,5.4,56,10.324,
25.8.2026,8:50:30.043,34.4,30.3,3.0,54,8.837,
25.8.2026,8:50:30.251,29.2,0.0,2.4,59,9.731,
25.8.2026,8:50:30.457,52.0,22.8,7.4,54,10.395,
25.8.2026,8:50:30.664,66.7,0.0,3.6,77,10.105,
25.8.2026,8:50:30.855,83.4,0.0,6.1,56,10.105,
25.8.2026,8:50:31.064,32.5,5.9,5.0,57,11.215,
25.8.2026,8:50:31.270,46.6,0.0,5.0,59,10.441,
25.8.2026,8:50:31.482,50.1,12.1,7.3,56,10.480,
25.8.2026,8:50:31.689,38.4,0.0,1.8,57,10.863,
25.8.2026,8:50:31.894,76.2,18.5,8.0,58,10.386,
25.8.2026,8:50:32.100,65.5,6.9,2.5,58,10.828,
25.8.2026,8:50:32.293,116.4,7.3,2.8,58,10.828,
25.8.2026,8:50:32.499,37.5,0.0,2.3,59,10.072,
25.8.2026,8:50:32.709,33.1,0.0,4.2,54,11.231,
25.8.2026,8:50:32.915,30.4,0.0,4.5,55,9.155,
25.8.2026,8:50:33.123,24.2,33.7,3.4,58,9.306,
25.8.2026,8:50:33.334,40.0,6.0,6.8,55,10.744,
25.8.2026,8:50:33.542,30.7,0.0,2.7,56,9.792,
25.8.2026,8:50:33.750,41.3,0.0,1.6,55,10.754,
25.8.2026,8:50:33.954,73.4,18.7,5.4,57,9.625,
25.8.2026,8:50:34.166,55.6,0.0,5.1,54,11.046,
25.8.2026,8:50:34.356,51.3,0.0,4.1,54,11.734,
25.8.2026,8:50:34.564,209.5,2.3,3.6,80,9.212,
25.8.2026,8:50:34.773,43.9,0.0,3.8,81,8.295,
25.8.2026,8:50:34.979,83.4,0.7,7.0,86,11.468,
25.8.2026,8:50:35.181,30.4,13.3,4.3,82,12.905,
25.8.2026,8:50:35.390,33.1,0.0,2.3,85,9.676,
25.8.2026,8:50:35.596,36.5,12.5,6.1,83,11.116,
25.8.2026,8:50:35.802,47.4,0.0,4.6,83,10.420,
25.8.2026,8:50:35.995,69.1,0.0,1.9,83,11.536,
25.8.2026,8:50:36.201,40.0,0.0,2.0,66,9.087,
25.8.2026,8:50:36.409,34.6,6.7,8.5,61,10.275,
25.8.2026,8:50:36.615,57.5,7.3,2.5,62,10.209,
25.8.2026,8:50:36.823,104.8,7.8,4.1,61,10.941,
25.8.2026,8:50:37.013,48.1,0.0,1.5,61,10.329,
25.8.2026,8:50:37.220,35.0,0.0,2.7,81,10.090,
25.8.2026,8:50:37.423,29.4,0.0,7.2,59,11.786,
25.8.2026,8:50:37.632,77.0,18.3,6.2,58,10.832,
25.8.2026,8:50:37.837,86.8,0.0,8.5,76,9.310,
25.8.2026,8:50:38.043,32.2,7.0,7.8,90,22.695,
25.8.2026,8:50:38.234,104.5,8.0,8.3,88,16.074,
25.8.2026,8:50:38.437,214.2,3.2,13.6,89,19.700,
25.8.2026,8:50:38.644,27.5,13.2,12.9,63,20.181,
25.8.2026,8:50:38.852,489.3,9.6,12.6,88,12.962,
25.8.2026,8:50:39.054,524.2,0.0,11.5,90,25.375,
25.8.2026,8:50:39.249,524.2,0.0,11.5,92,30.640,
25.8.2026,8:50:39.453,103.3,19.3,12.2,61,19.859,
25.8.2026,8:50:39.661,35.4,0.0,6.1,61,9.900,
25.8.2026,8:50:39.856,30.6,5.6,2.5,59,11.455,
25.8.2026,8:50:40.062,50.0,26.7,8.8,60,8.268,
25.8.2026,8:50:40.270,145.0,7.2,6.3,61,13.179,
25.8.2026,8:50:40.478,154.0,3.3,6.8,59,14.871,
25.8.2026,8:50:40.682,21.8,0.0,1.8,59,10.361,
25.8.2026,8:50:40.889,51.0,0.0,2.7,60,10.003,
25.8.2026,8:50:41.095,39.4,0.0,5.3,57,11.845,
25.8.2026,8:50:41.302,37.8,5.6,5.3,60,9.595,
25.8.2026,8:50:41.509,44.9,0.0,3.6,59,10.997,
25.8.2026,8:50:41.700,25.6,0.0,3.2,59,10.778,
25.8.2026,8:50:41.905,40.5,6.4,4.0,59,9.712,
25.8.2026,8:50:42.111,37.1,12.1,4.0,58,9.936,
25.8.2026,8:50:42.320,47.6,0.0,3.0,59,11.762,
25.8.2026,8:50:42.528,29.4,5.8,5.0,59,8.982,
25.8.2026,8:50:42.731,208.0,3.5,2.9,59,10.871,
25.8.2026,8:50:42.941,36.9,0.0,2.1,58,8.615,
25.8.2026,8:50:43.144,125.3,7.3,10.7,60,15.477,
25.8.2026,8:50:43.352,21.7,0.4,3.4,59,10.496,
25.8.2026,8:50:43.543,34.9,0.0,2.2,60,10.941,
25.8.2026,8:50:43.754,67.6,0.0,2.7,60,10.953,
25.8.2026,8:50:43.955,50.1,12.4,4.0,62,12.333,
25.8.2026,8:50:44.162,30.0,0.0,2.5,60,11.686,
25.8.2026,8:50:44.369,38.0,6.2,6.0,65,10.815,
25.8.2026,8:50:44.561,34.7,0.0,5.4,63,16.635,
25.8.2026,8:50:44.766,31.4,0.0,2.4,59,10.975,
25.8.2026,8:50:44.972,101.8,35.2,9.4,59,9.719,
25.8.2026,8:50:45.180,63.6,0.5,2.9,59,10.865,
25.8.2026,8:50:45.373,29.2,0.0,3.0,59,11.978,
25.8.2026,8:50:45.578,16.9,0.0,3.1,57,9.630,
25.8.2026,8:50:45.787,115.3,19.0,5.3,59,9.312,
25.8.2026,8:50:45.992,26.0,6.4,6.8,57,11.535,
25.8.2026,8:50:46.201,28.5,0.0,1.3,58,10.531,
25.8.2026,8:50:46.387,41.2,23.4,5.6,58,10.259,
25.8.2026,8:50:46.597,19.6,0.0,4.9,59,8.274,
25.8.2026,8:50:46.802,47.3,31.3,7.5,56,10.423,
25.8.2026,8:50:47.009,30.0,0.0,1.8,59,10.772,
25.8.2026,8:50:47.217,19.8,12.2,2.2,59,7.966,
25.8.2026,8:50:47.424,50.1,0.0,3.7,57,9.933,
25.8.2026,8:50:47.632,22.4,0.0,6.0,61,11.276,
25.8.2026,8:50:47.822,36.1,11.7,3.1,59,9.043,
25.8.2026,8:50:48.028,57.6,0.4,1.9,59,10.624,
25.8.2026,8:50:48.239,95.8,6.1,5.7,56,9.406,
25.8.2026,8:50:48.450,58.2,0.0,4.7,80,9.771,
25.8.2026,8:50:48.636,106.5,0.0,5.6,58,9.771,
25.8.2026,8:50:48.845,33.2,17.8,5.2,57,12.768,
25.8.2026,8:50:49.051,42.1,0.0,3.1,56,10.440,
25.8.2026,8:50:49.260,50.3,12.9,5.7,58,9.659,
25.8.2026,8:50:49.450,31.7,0.0,2.5,58,11.171,
25.8.2026,8:50:49.662,37.5,5.3,6.1,86,11.899,
25.8.2026,8:50:49.868,57.4,0.0,3.5,80,10.334,
25.8.2026,8:50:50.072,44.6,0.0,5.4,85,11.815,
25.8.2026,8:50:50.283,27.2,0.0,2.0,84,11.906,
25.8.2026,8:50:50.489,19.6,0.0,5.7,85,10.160,
25.8.2026,8:50:50.694,27.3,12.5,9.1,84,11.084,
25.8.2026,8:50:50.887,35.4,0.0,2.5,85,12.212,
25.8.2026,8:50:51.094,42.2,0.0,2.3,64,9.150,
25.8.2026,8:50:51.300,31.8,5.8,7.0,67,12.801,
25.8.2026,8:50:51.508,20.9,0.0,3.2,71,10.588,
25.8.2026,8:50:51.713,53.4,7.3,3.0,62,10.527,
25.8.2026,8:50:51.903,23.3,11.2,3.2,64,10.931,
25.8.2026,8:50:52.111,48.8,0.0,6.8,57,9.979,
25.8.2026,8:50:52.322,31.6,22.0,7.8,61,8.639,
25.8.2026,8:50:52.512,29.5,0.0,2.6,57,11.370,
25.8.2026,8:50:52.716,26.3,12.3,7.5,61,12.866,
25.8.2026,8:50:52.926,22.1,5.4,6.6,60,13.394,
25.8.2026,8:50:53.133,29.4,0.0,2.7,58,9.607,
25.8.2026,8:50:53.324,29.4,0.0,2.7,58,10.126,
25.8.2026,8:50:53.534,27.9,12.3,4.2,56,10.171,
25.8.2026,8:50:53.742,31.3,0.0,3.3,55,7.478,
25.8.2026,8:50:53.933,25.7,22.1,7.0,56,11.286,
25.8.2026,8:50:54.140,324.1,5.2,3.5,60,11.128,
25.8.2026,8:50:54.348,263.0,4.7,5.0,58,16.011,
25.8.2026,8:50:54.557,29.4,0.0,4.6,58,11.930,
25.8.2026,8:50:54.747,28.1,17.6,3.0,55,10.610,
25.8.2026,8:50:54.953,29.0,0.0,4.8,57,11.308,
25.8.2026,8:50:55.164,18.5,5.6,4.7,58,10.499,
25.8.2026,8:50:55.370,36.0,5.7,5.2,58,10.797,
25.8.2026,8:50:55.579,214.9,0.0,4.5,57,14.262,
25.8.2026,8:50:55.788,27.1,0.0,3.2,58,8.822,
25.8.2026,8:50:55.993,35.1,6.1,7.2,58,14.738,
25.8.2026,8:50:56.182,21.6,0.0,1.9,57,11.127,
25.8.2026,8:50:56.390,135.2,32.1,4.0,58,10.239,
25.8.2026,8:50:56.601,21.7,5.8,4.9,59,9.909,
25.8.2026,8:50:56.805,54.8,0.0,7.3,70,13.822,
25.8.2026,8:50:57.012,33.2,0.0,3.0,61,10.371,
