model_id,target_energy_j,target_energy_std_j,target_energy_cv_percent,target_latency_ms,target_throughput_inferences_per_sec,measurement_valid_trials,feature_depth,feature_parameter_count,feature_pattern,feature_growth_pattern,feature_channel_1,feature_pool_after_1,feature_channel_2,feature_pool_after_2,feature_channel_3,feature_pool_after_3,feature_channel_4,feature_pool_after_4,feature_channel_5,feature_pool_after_5,feature_channel_6,feature_pool_after_6,feature_channel_min,feature_channel_max,feature_channel_mean,feature_channel_std,feature_channel_sum,feature_channel_range,feature_channel_first,feature_channel_last,feature_channel_last_first_ratio,feature_pool_count,feature_conv_macs,feature_conv_flops,feature_activation_elements,feature_final_feature_map_height,feature_final_feature_map_width
0042,0.0117028808759882,0.0009280799704489,7.930354758657877,0.9262349941315812,1079.6431780040327,3,2,187255,increasing,early,90.0,1.0,225.0,0.0,,0.0,,0.0,,0.0,,0.0,90.0,225.0,157.5,67.5,315.0,135.0,90.0,225.0,2.5,1.0,49144320.0,98288640.0,149760.0,16.0,16.0
0043,0.0037164804063671,0.0001182654283624,3.1821889376788017,0.336319642225949,2973.3928630284245,3,2,11266,increasing,linear,20.0,0.0,56.0,1.0,,0.0,,0.0,,0.0,,0.0,20.0,56.0,38.0,18.0,76.0,36.0,20.0,56.0,2.8,1.0,10874880.0,21749760.0,77824.0,16.0,16.0
0044,0.0007379757878575,5.636516711667132e-06,0.7637807099377919,0.0640170892618381,15620.89408638099,3,6,9432,uniform,linear,14.0,1.0,14.0,1.0,14.0,0.0,14.0,1.0,14.0,1.0,14.0,1.0,14.0,14.0,14.0,0.0,84.0,0.0,14.0,14.0,1.0,5.0,1099728.0,2199456.0,19992.0,1.0,1.0
0045,0.0232681890204593,0.0004619462381808,1.9853123841079,1.7797457428501935,561.8845655714612,3,3,265642,increasing,linear,39.0,0.0,124.0,1.0,196.0,1.0,,0.0,,0.0,,0.0,39.0,196.0,119.66666666666667,64.1681818002938,359.0,157.0,39.0,196.0,5.0256410256410255,2.0,101643264.0,203286528.0,217088.0,8.0,8.0
0046,0.0684641054684376,0.0009395614485772,1.372341670352259,5.136205910022753,194.69668725140136,3,6,391905,decreasing,late,156.0,0.0,119.0,0.0,91.0,1.0,70.0,1.0,58.0,0.0,54.0,1.0,54.0,156.0,91.33333333333333,36.30273941300972,548.0,102.0,156.0,54.0,0.34615384615384615,3.0,294018048.0,588036096.0,399872.0,4.0,4.0
0047,0.0260687614244043,0.0007522373056165,2.88558897513382,1.870317759646388,534.6700257936116,3,4,453382,decreasing,linear,221.0,1.0,151.0,1.0,94.0,1.0,22.0,0.0,,0.0,,0.0,22.0,221.0,122.0,73.18811378905731,488.0,199.0,221.0,22.0,0.09954751131221719,3.0,91470528.0,182941056.0,271328.0,4.0,4.0
0048,0.0024580000987887,6.115024406596347e-05,2.4878047847148634,0.1960658573525817,5100.377089330483,3,3,20932,uniform,late,33.0,1.0,33.0,0.0,33.0,0.0,,0.0,,0.0,,0.0,33.0,33.0,33.0,0.0,99.0,0.0,33.0,33.0,1.0,1.0,5930496.0,11860992.0,50688.0,16.0,16.0
0049,0.0073552927121071,0.000340600470089,4.630685459035895,0.637132555543754,1569.5535924078076,3,3,190743,decreasing,linear,128.0,1.0,104.0,1.0,71.0,0.0,,0.0,,0.0,,0.0,71.0,128.0,101.0,23.366642891095847,303.0,57.0,128.0,71.0,0.5546875,2.0,38462976.0,76925952.0,162240.0,8.0,8.0
0050,0.0160858607706468,0.0005483385324598,3.408823066903809,1.1575160830762818,863.9333952164297,3,2,58728,increasing,early,66.0,0.0,94.0,1.0,,0.0,,0.0,,0.0,,0.0,66.0,94.0,80.0,14.0,160.0,28.0,66.0,94.0,1.4242424242424243,1.0,59000832.0,118001664.0,163840.0,16.0,16.0
0051,0.0086444451401943,8.441264499721551e-05,0.9764958146905128,0.715728834459959,1397.1806175352528,3,3,76298,decreasing,late,64.0,0.0,64.0,1.0,64.0,0.0,,0.0,,0.0,,0.0,64.0,64.0,64.0,0.0,192.0,0.0,64.0,64.0,1.0,1.0,48955392.0,97910784.0,147456.0,16.0,16.0
