id,seed,depth,pattern,growth_pattern,noise_ratio,min_channels,max_channels,channels,pools,parameter_count,onnx_path,onnx_size_bytes,created_at_utc
0151,7427509204191358052,3,uniform,late,0.05,93,93,93-93-93,3,159412,model_onnx/0151.onnx,639603,2026-09-08T11:09:35.691198+00:00
0152,2487509441785064748,3,uniform,early,0.05,72,72,72-72-72,2,96202,model_onnx/0152.onnx,386763,2026-09-08T11:09:35.720738+00:00
0153,5490803803649486888,2,decreasing,linear,0.1,40,49,49-40,1-2,19462,model_onnx/0153.onnx,79612,2026-09-08T11:09:35.745176+00:00
0154,1281242418980796785,4,decreasing,early,0.0,55,253,253-217-169-55,,915906,model_onnx/0154.onnx,3665782,2026-09-08T11:09:35.798645+00:00
0155,7329745519283874199,4,decreasing,early,0.1,79,143,143-135-108-79,1,386879,model_onnx/0155.onnx,1549886,2026-09-08T11:09:35.843502+00:00
0156,5722029166868588505,2,uniform,linear,0.05,78,78,78-78,1,57808,model_onnx/0156.onnx,232778,2026-09-08T11:09:35.866860+00:00
0157,4396901093556301636,5,hourglass,late,0.1,65,151,151-79-65-85-151,3-4-5,324944,model_onnx/0157.onnx,1303007,2026-09-08T11:09:35.916710+00:00
0158,5499586432657722140,3,uniform,linear,0.05,83,83,83-83-83,2-3,127332,model_onnx/0158.onnx,511501,2026-09-08T11:09:35.949843+00:00
0159,8340390777355954842,3,uniform,early,0.1,88,88,88-88-88,1,142922,model_onnx/0159.onnx,573643,2026-09-08T11:09:35.978387+00:00
0160,2383775940637368027,6,hourglass,late,0.0,47,57,57-51-47-47-51-57,1-2-5-6,117782,model_onnx/0160.onnx,474993,2026-09-08T11:09:36.027022+00:00
0161,5706594173744325730,6,hourglass,linear,0.0,83,191,191-148-83-83-148-191,2,799858,model_onnx/0161.onnx,3202645,2026-09-08T11:09:36.081411+00:00
0162,5113601500681470957,2,decreasing,early,0.1,77,201,201-77,1-2,145778,model_onnx/0162.onnx,584881,2026-09-08T11:09:36.117679+00:00
0163,5518689767958367497,2,uniform,late,0.1,35,35,35-35,2,12400,model_onnx/0163.onnx,51146,2026-09-08T11:09:36.137219+00:00
0164,7344308918103949491,4,increasing,linear,0.05,69,136,69-94-114-136,1-3,298000,model_onnx/0164.onnx,1194588,2026-09-08T11:09:36.192983+00:00
0165,1129015643552466517,6,increasing,late,0.05,41,249,41-49-73-119-182-249,1-3-4-5,735561,model_onnx/0165.onnx,2946116,2026-09-08T11:09:36.251421+00:00
0166,9122640014801295973,2,uniform,early,0.1,41,41,41-41,2,16738,model_onnx/0166.onnx,68498,2026-09-08T11:09:36.275073+00:00
0167,6156967635273889632,3,uniform,early,0.1,39,39,39-39-39,1-2-3,28948,model_onnx/0167.onnx,118183,2026-09-08T11:09:36.306037+00:00
0168,4441724342308599109,2,decreasing,linear,0.05,96,135,135-96,1-2,121486,model_onnx/0168.onnx,487711,2026-09-08T11:09:36.335742+00:00
0169,7502871029762955527,3,hourglass,early,0.1,55,102,102-55-102,3,105023,model_onnx/0169.onnx,422047,2026-09-08T11:09:36.388094+00:00
0170,1824802611201572853,2,uniform,late,0.0,73,73,73-73,1-2,50818,model_onnx/0170.onnx,205036,2026-09-08T11:09:36.428389+00:00
